"publisher.keyword: Descending",Count
"Japanese Association of Water Resources and Environment",56
"Korean Stroke Society",56
"The Jutendo Medical Journal",56
"Acarological Society of Japan",55
"American Journal of Life Science Researches",55
"American Society of Brewing Chemists",55
"Centers for Disease Control MMWR Office",55
Edentata,55
"Faculty of Mechanical Engineering and Naval Architecture, Univ. of Zagreb",55
"Geofisica Internacional",55
"Japan Wood Society",55
"Japanese Association of Hydrological Sciences",55
"Media Peternakan",55
"Practical Action Publishing Ltd",55
"Revista Administracao em Dialogo",55
"Society of Advanced Science",55
"Embrapa Florestas",54
"Japanese Association for the Study of Pain",54
"The Korean Society of Sports Medicine (KAMJE)",54
"Association for the Advancement of Restorative Medicine",53
"Canadian Institute of Geomatics",53
"J. Michael Ryan Publishing",53
"Japanese Society for Root Research",53
"Japanese Society of Tropical Medicine",53
"Japanese Society on Surgery for Cerebral Stroke",53
"Japanese Society on Thrombosis and Hemostasis",53
"Journal of the North Atlantic",53
"The Korean Knee Society",53
"WHO Press",53
"AOTA Press",52
"Crop Science Society of America and American Society of Agronomy",52
"Duncker & Humblot GmbH",52
"Japan Landslide Society",52
"Japanese Society for Biological Sciences in Space",52
"Jurnal Veteriner",52
"Korean Association of Thyroid and Endocrine Surgeons",52
"Korean College of Neuropsychopharmacology",52
"Progress IPS",52
"Surface Analysis Society of Japan",52
"The Korean Society of Gastrointestinal Endoscopy",52
"Academy of Sciences and Arts of Bosnia and Herzegovina",51
"Faculty of Economics and Business, University of Zagreb",51
"International Microelectronics and Packaging Society (IMAPS)",51
"Japanese Society of Water Treatment Biology",51
"Journal of Rehabilitation Research & Development",51
"MECS Publisher",51
"The Korean Society for Surgery of the Hand (KAMJE)",51
"Tree-Ring Society",51
"Universidad de Oviedo",51
"University of South Florida Libraries",51
"AFRICAN SUN MeDIA",50
"Archives of Endocrinology and Metabolism",50
"Asian Pacific Organization for Cancer Prevention",50
"Botanical Research Institute of Texas",50
"Faculty of Mathematics, Kyushu University",50
"International Global Health Society",50
"Japan Society of Coordination Chemistry",50
"Japanese Society for Dental Health",50
"Museum of Comparative Zoology, Harvard University",50
"Pan Stanford Publishing Pte. Ltd.",50
"The Japan Society of International Economics",50
"The Mathematical Society of Japan",50
"The Psychological Record",50
"UNAM (Norteamerica, Revista Academica del CISAN-UNAM)",50
"University of Texas Press",50
Vieweg,50
"John Wiley & Sons Inc",49
MTT002,49
"Association of Basic Medical Sciences of FBIH",48
"Atlantic Geology",48
"Comparative Cognition Society",48
"Institut d'Educacio Fisica de Catalunya (INEFC)",48
"Japan Cement Association",48
"Japan Ergonomics Society",48
"Japan Section of the Regional Science Association International",48
"Japan Society for Graphic Science",48
"Japanese Society of Intensive Care Medicine",48
"Micropaleontology Press",48
Teubner,48
"The Association for Plant Protection of Kyushu",48
"Turkish Family Physicans Association",48
"Japanese Society of Tea Science and Technology",47
"Korean Foot and Ankle Society (KAMJE)",47
"Leuven University Press",47
"The Japanese Association of Administrative Science",47
"University of Rijeka, Faculty of Medicine",47
"American Counseling Association.",46
"Asociacion Paleontologica Argentina",46
"Associated Professional Sleep Societies (APSS)",46
"Co-Published with Indian Institute of Science (IISc), Bangalore, India",46
"Coastal Engineering Research Council",46
"Health Sciences Researches Society",46
"Japan Lung Cancer Society",46
"Korean Society for Neurorehabilitation (KAMJE)",46
"Medical Publishing, d.o.o.",46
"The Biometric Society of Japan",46
"The Japan Society for Hematopoietic Stem Cell Transplantation",46
"CABI Publishing",45
"Institute for Social Research Zagreb",45
"International Journal of Management Economics and Business",45
"Japan Society for Simulation Technology",45
"Journal of Istanbul University Faculty of Dentistry",45
MAFTREE,45
"Universidad del Valle",45
"University of Wales Press/Gwasg Prifysgol Cymru",45
"Hellenic Endocrine Society",44
"Japanese Society of Spinal Surgery",44
"Nucleo de Estudos do Futuro NEF PUCSP",44
"The Japanese Society for Neuroendovascular Therapy",44
"The Korean Society of Pediatric Infectious Diseases",44
"Universidad Nacional Mayor de San Marcos, Vicerectorado de Investigacion",44
"University of Illinois Libraries",44
"Consortium of Multiple Sclerosis Centers",43
"Faculty of 1000, Ltd.",43
"Institute of Agricultural Management",43
"Institute of Ethnology and Folklore Research",43
"Japan Society for the Study of Hypertension in Pregnancy",43
"Japan Society of Erosion Control Engineering",43
"Korean Society of Magnetic Resonance in Medicine (KAMJE)",43
"Korean Society of Medical Physics (KAMJE)",43
"Massage Therapy Foundation",43
"Okayama Medical Association",43
"Paris Scholar Publishing",43
"Puspa Publishing House",43
"Faculty of Kinesiology, University of Zagreb",42
"International Community of Spatial Planning and Sustainable Development",42
"Japan Society of Human Growth and Development",42
"Japanese Association for Russian and East European Studies",42
"Marmara Pharmaceutical Journal",42
"Monash University",42
"RWS Verlag",42
"Society of Exploration Geophysicists and Chinese Petroleum Society",42
"Akademie Verlag GmbH",41
"Canadian Health Libraries Association",41
"Portal de Periodicos UFPB",41
"The Japan Association for Philosophy of Science",41
"The Japanese Society of Clinical Cytology",41
"CO-PUBLISHED WITH HIGHER EDUCATION PRESS",40
"Diponegoro University",40
"Education Association of South Africa",40
"Japan Society of Spring Engineers",40
"Japanese Leprosy Association",40
"Massachusetts Historical Society",40
"Nihon University School of Dentistry at Matsudo Research Institute of Oral Science",40
"Palacky University Olomouc",40
"Tomas Bata University in Zlin",40
"WORLD SCIENTIFIC / IMPERIAL COLLEGE PRESS",40
"Co-Published with Macmillan Publishers Ltd, UK",39
"Editorial Office of Chinese Journal of Cancer",39
"Japanese Coral Reef Society",39
"Japanese Society for Artificial Intelligence",39
"Japanese Society for Spine Surgery and Related Research",39
"John Wiley & Sons Inc.",39
"Karabuk University",39
"Korean Dementia Association (KAMJE)",39
"Korean Society of Health Promotion and Disease Prevention (KAMJE)",39
"Kyushu Dental Society",39
"Springer Tokyo",39
"The Institute of Economics, Zagreb",39
"De Gruyter Saur",38
"Departamento de Educacao da Universidade Estadual Paulista – UNESP",38
"Korean Society for Biochemistry and Molecular Biology - BMB Reports",38
"Laser Pages Publishing Ltd.",38
"Office of Scientific and Technical Information (OSTI)",38
"Optimal Clinical, Ltd.",38
"Power System Technology Press",38
"Sciencedomain International",38
"Slovenian Society for Stereology and Quantitative Image Analysis",38
"The Japanese Nematological Society",38
"University of Zagreb School of Dental Medicine",38
"VM Media SP. zo.o VM Group SK",38
"Walter de Gruyter – K. G. Saur",38
"Blackwell Publishing, Inc.",37
"Blackwell Publishing, Ltd",37
"Digital Journal of Opthalmology",37
"Japan Rhinologic Society",37
"Society of Biomechanisms Japan",37
"The American Phytopathological Society",37
"Wiley-VCH Verlag GmbH & Co. KGaA.",37
"World Scientific Publishing Co. Pte. Ltd.",37
"British Thoracic Society",36
"Institute of Physics, Polish Academy of Sciences",36
"Japan Society for Food Engineering",36
"Japanese Association of Occupational Therapists",36
"Japanese Group Dynamics Association",36
"John Wiley & Sons, Inc.,",36
"SCPG PUBLISHING CORPORATION",36
"Society of Automotive Engineers of Japan, Inc.",36
"Stuttgart State Museum of Natural History",36
"The Center for Fire Science and Technology",36
"The Society for Chromatographic Sciences",36
"transcript-Verlag",36
"American School Counselor Association",35
"Association for Learning Technology",35
"Brill | Nijhoff",35
"De Boeck Supérieur",35
"Eastern University",35
"Editora Cubo Multimidia",35
Facet,35
"Fordham University Press",35
"Global Business Research Center",35
"International Scientific Information, Inc.",35
"International Society of Chromosome Botany",35
"Japan Science Support Foundation",35
"Japanese Society for Medical and Biological Engineering",35
"Mycobiology (KAMJE)",35
"OECD Publishing",35
"Revista Brasileira de Hematologia e Hemoterapia (RBHH)",35
"Stanford University Press",35
"The Japanese Society for Cardiovascular Surgery",35
"Tusi Mathematical Research Group",35
"A. I. Rosu Cultural Scientific Foundation (Fundatia cultural-stiintifica A. I. Rosu)",34
"Blackwell Publishers Inc.",34
"CO-PUBLISHED WITH NORTH-HOLLAND PUBLISHING CO.",34
"CO-PUBLISHED WITH THE AMERICAN CERAMIC SOCIETY, USA",34
EditorialPark,34
"Faculty of Mining, Geology and Petroleum Engineering",34
"Fennia - International Journal of Geography",34
"Japan Academy of Nursing Science",34
"John Wiley & Sons (Asia) Pte. Ltd.",34
"Korean Association of Urogenital Tract Infection and Inflammation (KAMJE)",34
"Korean Society for Bioinformatics and Systems Biology",34
"Korean Thyroid Association (KAMJE)",34
"Research Institute of Signal Processing, Japan",34
"Romanian Society of Gastroenterology and Hepatology",34
"Science International Corporation",34
"Technical University of Kosice, Faculty of Metallurgy",34
"The Japan Society of Coloproctology",34
"The Japanese Forest Society",34
"Japan Stroke Society",33
"Kitakanto Medical Society",33
"Logos Medical Publication (Logos Yayincilik Tic. A.S.)",33
Neurosciences,33
"Society of Exploration Geophysicists and American Association of Petroleum Geologists",33
"The Kansai Plant Protection Society",33
"The Korean Society for Transplantation (KAMJE)",33
"Yamashina Institute for Ornithology",33
"Brill | Rodopi",32
"Greenleaf Publishing Limited",32
"Japan Association for Earthquake Engineering",32
"Japanese Association of Sign Linguistics",32
"Korean Society for Preventive Medicine",32
"Korean Society of Epidemiology",32
"The Japanese Society of Swine Science",32
"The Permanente Press",32
"University of North Carolina Press",32
"Virtual Worlds Institute, Inc.",32
"Aging and Disease",31
"CO-PUBLISHED WITH EAST CHINA NORMAL UNIVERSITY PRESS",31
"CO-PUBLISHED WITH IMPERIAL COLLEGE PRESS",31
"Colegio Oficial de Psicologos de Madrid",31
"Division of Chemical Information and Computer Sciences",31
"EAGE Publications",31
"Faculty of Transport and Traffic Sciences",31
"Graduate School of Information Sciences, Tohoku University",31
"Institute for Biodiversity and Ecology",31
"Japan Society of Lipid Nutrition",31
"Japanese Electrophoresis Society",31
"Jurnalul de Chirurgie (Journal of Surgery)",31
"Sultan Qaboos University Medical Journal",31
"VBRI Press AB",31
"WILEY-VCH Verlag & Co. KGaA",31
AICIT,30
"Asian Electric Vehicle Society",30
"Iowa State Press",30
"Island Press",30
"Japanese Physical Therapy Association",30
"Korean Society of Ultrasound in Medicine",30
"Physicians Postgraduate Press, Inc",30
"Sagamore Publishing, LLC",30
"The Japanese Society of Nutrition and Dietetics",30
"The Korean Association for the Study of the Liver",30
EURATOM,29
"Japan Audiological Society",29
"Japanese Society for Pediatric Nephrology",29
"Proceedings of the Asia-Pacific Advanced Network",29
"Society of Environmental Conservation Engineering",29
"The Chinese Linguistic Society of Japan",29
"The Japan Statistical Society",29
"CASRP: Center of Advanced Scientific Research and Publications",28
ERES,28
"Food Safety Commission, Cabinet Office",28
"Instituto Evandro Chagas",28
"International Digital Organization for Scientific Information (IDOSI)",28
"J.F. Bergmann-Verlag",28
"Japan Society for Natural Disaster Science",28
"Japan Society of Kansei Engineering",28
"Japanese Association for Sport Management",28
"Japanese Society of Food Microbiology",28
"Journal of Biomedical Research",28
"Korean Continence Society",28
"Mykolas Romeris University",28
"Policy Studies Organization",28
"Polish Urological Association",28
"Sumart Processing Society for Minerals, Environment and Energy",28
"Swiss Medical Press, GmbH",28
"The Korean Society of Clinical Neurophysiology (KAMJE)",28
"Zadruzna Stampa D.D.",28
"American Meat Science Association",27
"American Society of Agronomy and Crop Science Society of America, Inc.",27
"Ammons Scientific",27
"Faculty of Economics, University of Split",27
"International Journal of Biosciences",27
"John Wiley &;#38; Sons, Ltd",27
"John Wiley &amp; Sons, Inc.",27
Proteomass,27
"Slovenian Chemical Society",27
"Society of Exploration Geophysicists and Society of Exploration Geophysicists of Japan",27
"Steinkopff-Verlag",27
"The Korean Spinal Neurosurgery Society",27
"The Society of Motion Picture and Television Engineers",27
"Active Aging Research Center",26
"CO-PUBLISHED BY IMPERIAL COLLEGE PRESS AND WORLD SCIENTIFIC PUBLISHING CO.",26
"California Digital Library (CDL)",26
"EPFL Press",26
"International Association of Physical Chemists (IAPC)",26
"International Journal of Optimization and Control: Theories and Applications",26
"Japan Association of Real Options and Strategy",26
"Japan Kaatsu Training Society",26
"John Wiley & Sons Singapore Pte Ltd",26
"Korean Academy of Pediatric Allergy and Respiratory Disease (KAMJE)",26
"Korean Association of Pediatric Surgeons (KAMJE)",26
"Scientific Publishing Center",26
"Seameo Biotrop",26
"Shared Science Publishers OG",26
"South Carolina Entomological Society",26
"The Korean Society of Clinical Microbiology (KAMJE)",26
"The Korean Society of Pathologists and The Korean Society for Cytopathology",26
"WORLD SCIENTIFIC / INDIAN INST OF SCIENCE, INDIA",26
"de Gruyter Recht",26
BioExcel,25
"Business Department, School of Economics, Business & Accounting USP",25
"Chemical Science Transactions",25
"Editions Karthala",25
"Faculty of Humanities and Social Sciences, University of Zagreb",25
"Gert Rijlaarsdam/SIG Writing",25
"ISPA - Instituto Universitario",25
"International Biophilia Rehabilitation Academy",25
"Japan Gastrointestinal Endoscopy Society",25
"Japan Pancreas Society",25
"Korean Association of Physical Anthropologists (KAMJE)",25
"Loyola Marymount University",25
"Massachusetts Medical Society",25
"National Institute for Health Research",25
"Soil Science Society of America, Inc.",25
"Sycamore Global Publications",25
"The Editorial Committee of Synthesiology",25
"The Japanese Society for Oral Pathology",25
"Centro de Ciencias de la Atmosfera",24
"Croatian Geological Survey",24
"FECAP Fundacao Escola de Comercio Alvares",24
"Instituto Nacional de Salud (Peru)",24
"Japan Science and Technology Agency (JST)",24
"Japanese Society of Human-Environment System",24
"Journal of Injury and Violence Research",24
"Kosin University College of Medicine (KAMJE)",24
OAhost,24
"Paris Legal Publishers",24
"Society of Exploration Geophysicists and The Chamber of Geophysical Engineers of Turkey",24
"The Korean Audiological Society",24
"University Computing Centre - SRCE",24
"University of Finance and Management in Warsaw",24
"ARC, Amsterdam University Press",23
"Academy of Taiwan Information Systems Research",23
"Franz Steiner Verlag GmbH",23
"Japan Wood Preserving Association",23
"Japanese College of Surgeons",23
"Jenny Stanford Publishing",23
"Korea Society for Exercise Nutrition",23
"Korean Rhinologic Society (KAMJE)",23
"Korean Society for Thoracic and Cardiovascular Surgery",23
"Korean Society of Lipidology and Atherosclerosis (KAMJE)",23
"Korean Society of Pediatric Endocrinology (KAMJE)",23
"Nuclear Receptor Signaling Atlas",23
"Production Engineering Institute (PEI), Faculty of Mechanical Engineering",23
"Published by Hindustan Book Agency (HBA), India. WSPC Distribute for All Markets Except in India",23
"Society for Mining, Metallurgy and Exploration Inc.",23
"The Association for Regional Agricultural and Forestry Economics",23
"The Japan Sociological Society",23
"The Japanese Society of Nuclear Cardiology",23
"The Korean Society for Legal Medicine (KAMJE)",23
"The Society of Japanese Women Scientists",23
"The Tire Society",23
"UNESP - Universidade Estadual Paulista",23
"Universidad Federal de Santa Maria",23
"Universidade Federal do Piaui",23
"ARAN Ediciones",22
"Association of Rural Planning",22
"EMH Swiss Medical Publishers, Ltd.",22
"Healthcare Bulletin",22
"Insight Medical Publishing",22
"Japanese Society of Snow and Ice",22
"John Wiley & Sons Ltd,",22
"John Wiley & Sons Ltd,.",22
"Korean Bone and Joint Tumor Society (KAMJE)",22
"The Korean Academy of Family Medicine (KAMJE)",22
"Universidad Autonoma Chapingo",22
"University North",22
"Biomath Forum",21
Bioscientifica,21
"British Ornithologists' Club",21
"College of Psychiatric and Neurologic Pharmacists (CPNP)",21
"EFPL Press",21
"Ecology and Civil Engineering Society",21
"Estonian Literary Museum of Scholarly Press",21
"Faculty of Electrical Engineering and Computing, Univ. of Zagreb",21
"Faculty of Humanities and Social Sciences University of Rijeka",21
"Freshwater Biological Association",21
"Fucape Business School",21
"Intellectual Consortium of Drug Discovery and Technology Development Incorporation",21
"JMIR Publications Inc.",21
"Japan Broncho-Esophagological Society",21
"Japan Society for Molecular Science",21
"Japanese Society of Health and Human Ecology",21
"Korean Society of Coloproctology (KAMJE)",21
"Medieval Institute Publications",21
"The Association for Simulated Practice in Healthcare",21
"The Japanese Society of Revegetation Technology",21
"Universidad Industrial de Santander",21
"WORLD SCIENTIFIC / CHEMICAL INDUSTRY PRESS, CHINA",21
"American College of Gastroenterology",20
"Brazilian Society for Computational and Applied Mathematics (SBMAC)",20
"Croatian Journal of Fisheries",20
"Ediciones Profesionales de la Informacion SL",20
"Element d.o.o.",20
"European Alliance for Innovation",20
"Global Science and Technology Forum",20
"IJNC Editorial Committee",20
"Institute of Statistical Science",20
"Japan Society of Health Support Science",20
"Japanese Society of Animal Psychology",20
"Japanese Society of Veterinary Dermatology",20
"Japanese Society of Zoo and Wildlife Medicine",20
"John Wiley & Sons, Inc,.",20
"John Wiley &amp Sons, Ltd",20
"Jossey-Bass",20
"Korean Society for Stem Cell Research",20
"Lamaze International",20
"Springer Healthcare Iberica",20
"The Japanese Society of Plant Morphology",20
"Trakia University",20
"West Indian Medical Journal",20
"Yale University Press",20
"AACC International, Inc.",19
"American Association of Family and Consumer Sciences",19
"BPS Blackwell",19
"Berkeley Linguistics Society",19
"British Academy",19
"Computers, Materials and Continua (Tech Science Press)",19
"Council for Children with Behavioral Disorders",19
"Croatian Sociological Association",19
"Faculdade de Desporto",19
"Faculty of Veterinary Medicine - Skopje",19
"Greenleaf Publishing",19
"Hrvatski Sumarski Institut (Croatian Forest Research)",19
"Hrvatsko Sumarsko Drustvo",19
"ISEAS–Yusof Ishak Institute Singapore",19
"Japanese Association of Cardioangioscopy",19
"Japanese Society of Agricultural Informatics",19
"Japanese Society of Jaw Deformities",19
"Japanese Society of Veterinary Anesthesia and Surgery",19
"John Wiley &amp; Sons, Ltd",19
"Korean Society for Aesthetic Plastic Surgery (KAMJE)",19
"Meteorological Research Institute, Japan Meteorological Agency",19
"Pacific University Library",19
"Rutgers University Press",19
"Shanghai Institute of Optics and Fine Mechanics",19
"Vervuert Verlagsgesellschaft",19
XMLArchive,19
"Aboriginal Policy Studies",18
"Acta Physica Polonica B Editorial Office",18
"American Anthropological Association",18
"American Psychiatric Association",18
"American University in Cairo Press",18
"Armand Colin",18
"CO-PUBLISHED WITH KK WOMEN'S AND CHILDREN'S HOSPITAL.",18
"Cardiofront, LLC",18
"Conference and Custom Publishing",18
"De Gruyter (A)",18
"Faculdade de Biblioteconomia Comunicacao",18
"Faculty of Medicine Universitas Indonesia",18
"Fundacion Espanola de Dietistas-Nutricionistas (FEDN)",18
"Instituto Brasileiro de Avaliacao Psicologica (IBAP)",18
"Japanese Association for Management Systems",18
"Japanese Society for Engineering Education",18
"Japanese Society for Pharmacoepidemiology",18
"Japanese Society of Farm Work Research",18
"Journal of Applied Pharmaceutical Science",18
"Justice Research and Statistics Association",18
"Klaipeda University Press",18
"Korean Neuropsychiatric Association",18
"Korean Society for Microbiology and Biotechnology",18
"National Association of School Psychologists (NASP)",18
"Prous Science",18
"Purdue University (bepress)",18
"The Fellowship of Postgraduate Medicine",18
"The Japan Laryngological Association",18
"The Korean Society of Electrolyte Metabolism (KAMJE)",18
"University of Rijeka Faculty of Law",18
"VCH Verlagsgesellschaft mbH",18
"Verlag Helvetica Chimica Acta",18
"Wiley-Blackwell Publishing Ltd.",18
"Armenian Green Publishing Co.",17
"Blackwell Publishing Company",17
"Brill | Sense",17
"Chem-Bio Informatics Society",17
"Dancecult: Journal of Electronic Dance Music Culture",17
"Edizioni della Normale",17
"Global Science & Technology Forum Pte Ltd.",17
"IACSIT Press",17
"Ideas in Ecology and Evolution",17
"Instituto de Botanica Darwinion (IBODA)",17
"Kluwer Academic Publishers-Plenum Publishers",17
"Korean Association for the Study of Lung Cancer (KAMJE)",17
"Korean Society for Schizophrenia Research (KAMJE)",17
"LLC Science and Innovations",17
"National Institute of Advanced Industrial Science",17
"SAGE Publications, Inc.",17
"The Japan Epilepsy Society",17
"The Japanese Society of Strategies for Cancer Research and Therapy",17
"The Korean Society of Environmental Health and Toxicology (KAMJE)",17
"The Nihon University Medical Association",17
"Thieme Medical and Scientific Publishers Private Ltd.",17
"WORLD SCIENTIFIC / ZHEJIANG UNIVERSITY PRESS, CHINA",17
"AKADEMIE-VERLAG",16
"Biomedical Research and Therapy",16
"Blackwell Publishing, Ltd,.",16
"Co-Published with Higher Education Press",16
"Co-published with HEP",16
"Conscientia Beam",16
"Dutch Bryological and Lichenological Society and Nordic Bryological Society",16
"Emerald Group Publishing",16
"Faculty of Engineering, University of Rijeka",16
"Hart Publishing",16
Intech,16
"Japan Association on Odor Environment",16
"Japanese Society of Animal Breeding and Genetics",16
"Policy Press",16
"Regional Euro-Asian Biological Invasions Centre Oy (REABIC)",16
"Sociedad Espanola de Patologia Digestiva (SEPD)",16
"South African Medical Association NPC",16
"The Industrial Research Institute",16
"The Japanese Coronary Association",16
"The Philosophy of Science Society, Japan",16
"The World Bank",16
"Universidad Autonoma del Caribe",16
"Universidad EAFIT",16
"University of Rijeka, Faculty of Maritime Studies",16
"Vytautas Magnus University",16
"Asociacion Mexicana de Mastozoologia",15
"Association for Computing Machinery",15
"CO-PUBLISHED WITH WORLD CENTURY PUBLISHING CORPORATION",15
"Carbon Management Technology Conference",15
"Cellule MathDoc/CEDRAM",15
"Cevre Koruma ve Arastirma Vakfi",15
"Colegio Mayor de Nuestra Senor del Rosario",15
"Consejo General de Colegios Oficiales de Psicologos",15
"Croatian Veterinary Institute, Zagreb",15
"Enke Verlag",15
"Institut Za Migracije I Narodnosti (Institute for Migration and Ethnic Studies)",15
"Iowa State University Press",15
"Japanese Environmental Mutagen Society",15
"Japanese Society for Complementary & Alternative Medicine",15
"Japanese Society of Biorheology",15
"Japanese Society of Gout and Nucleic Acid Metabolism",15
"John Wiley & Sons.",15
"John Wiley and Sons, Ltd",15
"Korean Society of Perinatology (KAMJE)",15
"Publishing House for Science and Technology, Vietnam Academy of Science and Technology",15
"Revista Carreiras e Pessoas (RECAPE)",15
"Universidad de Costa Rica",15
"Wiley & Sons, Inc.",15
"A John Wiley & Sons",14
"ASTM International",14
"Akademizdatcenter Nauka",14
"Croatian Nurses Association (CNA)",14
"Earth and Planetary Physics",14
"Federal Reserve Bank of St. Louis",14
"GeroFam Journal",14
"IBIMA Publishing",14
"Institute of Life Cycle Assessment",14
"Japan Society for Head and Neck Cancer",14
"Japanese Society for Thermal Medicine",14
"Japanese Society of Computational Statistics",14
"Japanese Society of Oral Medicine",14
"John Wiley & Sons Ltd and the Institute of Food Technologists",14
"Jornal de Pediatria",14
"Journal of Tourism and Hospitality Management",14
"Juraj Dobrila University of Pula",14
"Korean Association of Maxillofacial Plastic and Reconstructive Surgeons",14
"Korean Cleft Palate-Craniofacial Association (KAMJE)",14
"Lippincott Williams & Wilkins",14
"National Institute of Standards and Technology",14
"Revista Odontoestomatologia",14
"Science Society of Thailand - Mahidol University",14
"Scientia Agropecuaria",14
Sjournals,14
"Society of Exploration Geophysicists and Australian Society of Exploration Geophysicists",14
TECSI,14
"The American Ceramic Society",14
"The Korean Mathematical Society",14
"The Korean Movement Disorder Society",14
"The Korean Society of Emergency Medicine",14
"Universidad Distrital Francisco Jose de Caldas",14
"Universidad Peruana Cayetano Heredia",14
eScholarship,14
"Adenine Press, Inc.",13
"Asociatia Pentru Cresterea Vizibilitatii Cercetarii Stiintifice (ACVCS)",13
"Catholic Faculty of Theology in Dakovo",13
"Co-Published with Civil Service College Singapore and Institute of Policy Studies, National University of Singapore",13
"Computing in Cardiology",13
"Czech Geological Survey",13
"Deutsche Verlags-Anstalt",13
"European Mathematical Society Publishing House",13
"Food & Nutrition Press, Inc.",13
"Geological Society of South Africa",13
"Human Resources Management Academic Research Society (HRMARS)",13
"Institute of Art History",13
"Islamic Medical Association of North America",13
"Ivanovo State University of Chemistry and Technology",13
"Japan Academy of Midwifery",13
"Japan Academy of Neurosonology",13
"Japan Laser Processing Society",13
"Japanese Society of Stomatognathic Function",13
"Journal of Experimental and Clinical Medicine",13
"Organisation for Economic Co-Operation and Development (OECD)",13
"Royal College of Physicians of Edinburgh",13
"Science Alert",13
"The Faculty of Law in Split",13
"The Society of Life Support Technology",13
"The Tohoku Geographical Association",13
"Universidad de Narino",13
"WILEY-VCH Verlag GmbH & Co. KGaA",13
"WORLD SCIENTIFIC / HINDUSTAN BOOK AGENCY, INDIA",13
"Wiley Blackwell",13
"Wilhelm Ernst & Sohn",13
"ACTA Press",12
"Acta Physico-Chimica Sinica & University Chemistry Editorial Office, Peking University",12
"American Dental Education Association",12
"Center for Promoting Ideas",12
"Co-Published with Civil Service College Singapore",12
"Faculty of Civil and Geodetic Engineering",12
"International Journal of Pharmaceutical Sciences and Research",12
"Japanese Research Association for Food Irradiation",12
"Japanese Society for Palliative Medicine",12
"Japanese Society of Environmental Infections",12
"Medicinska Naklada d.o.o.",12
"Mushroom Research Foundation",12
"Osterreichische Akademie der Wissenschaften",12
"Revista Brasileira de Ciencias Agrarias",12
"Russian New University",12
"Slovak University of Agriculture in Nitra",12
"Society for Learning Analytics Research",12
"THIS EDITION IS PUBLISHED BY ARRANGEMENT WITH THE AMERICAN UNIVERSITY IN CAIRO PRESS",12
"The British Psychological Society and Blackwell Publishing Ltd",12
"The Japanese Skin Cancer Society",12
"The Medical Society of Kansai Medical University",12
"The Sax Institute",12
"The Society of Naval Architects and Marine Engineers",12
"Tobacco Regulatory Science Group",12
"Universidad de San Martin de Porres",12
"University of Arizona Libraries",12
"Veterinaria Mexico OA",12
"WORLD SCIENTIFIC / WORLD CENTURY PUBLISHING CORPORATION",12
"WSPC/HEP",12
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales",11
"Anthem Press",11
"Bilimsel Tip Publishing House",11
"Bio-Protocol, LLC",11
"Brill Academic Publisher",11
"C.H. Beck",11
"COPD Foundation",11
"Co-Published with Institute of Policy Studies, National University of Singapore",11
"Co-published with Chemical Industry Press",11
"Croatian Institute of History (Hrvatski Institut za Povijest)",11
"Department of Mathematics, Faculty of Science",11
"Engineering and Technology Publishing",11
"Hrvatsko Agronomsko Drustvo",11
"Institute of Theoretical and Applied Informatics, Polish Academy of Sciences",11
"International Academy Publishing (IAP)",11
"International Centre for Sustainable Development of Water",11
"International Journal of Wellbeing",11
"Japan Association for African Studies",11
"Japan Society for Immunology of Reproduction",11
"Japan Society of Forest Planning",11
"Journal of Solid Waste Technology and Management",11
"Journal of Special Education and Rehabilitation",11
"Korean Society for Nosocomial Infection Control (KAMJE)",11
"Korean Society for Therapeutic Radiology and Oncology",11
"Kozminski University",11
"Krscanski Akademski Krug",11
"Martinus Nijhoff Publishers",11
"Monthly Review Foundation",11
"PUBLISHED AND DISTRIBUTED WORLDWIDE BY WORLD SCIENTIFIC PUBLISHING CO. EXCEPT INDIA, UK &amp; NORTH AMERICA",11
"Pediatric Neurology Briefs Publishers",11
"Pro Literatur Verlag, Germany / ARS, Austria",11
"SZTE Hungarian Scientific Society of the Silicate Industry",11
"SciPress Ltd",11
"Science and Education of the Bauman MSTU",11
"Society for Biomedical Diabetes Research (SBDR)",11
"Study Group of Aero Aqua Bio-mechanics",11
"Universidad Catolica del Norte - Chile",11
"Universidad Nacional Del Altiplano Puno Peru",11
"University Press of Florida",11
"WORLD SCIENTIFIC / HIGHER EDUCATION PRESS, CHINA",11
"21st Century COE Program",10
"AGHU University of Science and Technology Press",10
"ANU Press",10
"Altai State University",10
"Asian Spine Journal (ASJ)",10
"Association for Fire Ecology",10
"CO-PUBLISHED WITH PRINCETON UNIVERSITY PRESS.",10
"CPI Journal",10
"Canadian Journal for Studies in Discourse Writing/Redactology",10
"Cliodynamics: The Journal of Quantative History and Cultural Evolution",10
"Co-Published with Institute of Defence and Strategic Studies (IDSS), NTU, Spore",10
"Croatian Communication Association",10
"Croatian Communications and Information Society",10
"DETAIL - Institut für internationale Architektur-Dokumentation GmbH & Co. KG",10
"DL PUBLISHING / WORLD SCIENTIFIC",10
"ENGG Journals Publications",10
"Emerald (MCB UP )",10
"Faculty of Maritime Studies Split",10
"Fundacion Universitaria Konrad Lorenz",10
"Institute of Sociology of the Academy of Sciences of the Czech Republic",10
"International Association for Shell and Spatial Structures",10
"Japan Marketing Academy",10
"Japanese Association for Digital Humanities",10
